Date : 2023-12-26 03:32:12
Directory : d:\Flutter Application\book_store_manager\lib
Total : 205 files,  12911 codes, 143 comments, 1425 blanks, all 14479 lines

Languages
+----------+------------+------------+------------+------------+------------+
| language | files      | code       | comment    | blank      | total      |
| screens\login                                                                                                     |          8 |        370 |          0 |         45 |        415 |
| screens\login (Files)                                                                                             |          1 |        119 |          0 |          4 |        123 |
| screens\login\bloc                                                                                                |          3 |         94 |          0 |         22 |        116 |
| screens\login\views                                                                                               |          4 |        157 |          0 |         19 |        176 |
| screens\manage_feedback                                                                                           |          1 |         16 |          0 |          3 |         19 |
| screens\manage_order                                                                                              |         11 |        701 |         20 |         81 |        802 |
| screens\manage_order (Files)                                                                                      |          1 |        171 |          1 |          7 |        179 |
| screens\manage_order\bloc                                                                                         |          3 |        173 |         19 |         39 |        231 |
| screens\manage_order\views                                                                                        |          7 |        357 |          0 |         35 |        392 |
| screens\manage_product                                                                                            |         10 |        914 |          0 |         71 |        985 |
| screens\manage_product (Files)                                                                                    |          1 |        122 |          0 |          8 |        130 |
| screens\manage_product\bloc                                                                                       |          3 |        165 |          0 |         35 |        200 |
| screens\manage_product\views                                                                                      |          6 |        627 |          0 |         28 |        655 |
| screens\manage_user                                                                                               |          9 |        390 |          0 |         49 |        439 |
| screens\manage_user (Files)                                                                                       |          1 |         41 |          0 |          3 |         44 |
| screens\manage_user\bloc                                                                                          |          3 |         74 |          0 |         21 |         95 |
| screens\manage_user\views                                                                                         |          5 |        275 |          0 |         25 |        300 |
| screens\order_details                                                                                             |         11 |        904 |          5 |         78 |        987 |
| screens\order_details (Files)                                                                                     |          1 |        293 |          0 |         15 |        308 |
| screens\order_details\bloc                                                                                        |          3 |        128 |          0 |         33 |        161 |
| screens\order_details\views                                                                                       |          7 |        483 |          5 |         30 |        518 |
| screens\order_done                                                                                                |         10 |        757 |          1 |         78 |        836 |
| screens\order_done (Files)                                                                                        |          1 |        215 |          0 |          6 |        221 |
| screens\order_done\bloc                                                                                           |          3 |        186 |          0 |         40 |        226 |
| screens\order_done\views                                                                                          |          6 |        356 |          1 |         32 |        389 |
| screens\order_status                                                                                              |         14 |        596 |         57 |        123 |        776 |
| screens\order_status (Files)                                                                                      |          1 |        130 |          0 |         10 |        140 |
| screens\order_status\delivering                                                                                   |          4 |        134 |         19 |         35 |        188 |
| screens\order_status\delivering (Files)                                                                           |          1 |         42 |          0 |          7 |         49 |
| screens\order_status\delivering\bloc                                                                              |          3 |         92 |         19 |         28 |        139 |
| screens\order_status\prepared                                                                                     |          4 |        157 |         19 |         37 |        213 |
| screens\order_status\prepared (Files)                                                                             |          1 |         49 |          0 |          6 |         55 |
| screens\order_status\prepared\bloc                                                                                |          3 |        108 |         19 |         31 |        158 |
| screens\order_status\preparing                                                                                    |          4 |        159 |         19 |         37 |        215 |
| screens\order_status\preparing (Files)                                                                            |          1 |         49 |          0 |          6 |         55 |
| screens\order_status\preparing\bloc                                                                               |          3 |        110 |         19 |         31 |        160 |
| screens\order_status\views                                                                                        |          1 |         16 |          0 |          4 |         20 |
| screens\product_create                                                                                            |          9 |        967 |          0 |         94 |      1,061 |
| screens\product_create (Files)                                                                                    |          1 |        322 |          0 |          7 |        329 |
| screens\product_create\bloc                                                                                       |          3 |        265 |          0 |         60 |        325 |
| screens\product_create\views                                                                                      |          5 |        380 |          0 |         27 |        407 |
| screens\product_detail                                                                                            |         11 |        952 |          0 |         75 |      1,027 |
| screens\product_detail (Files)                                                                                    |          2 |        197 |          0 |         16 |        213 |
| screens\product_detail\bloc                                                                                       |          3 |         85 |          0 |         22 |        107 |
| screens\product_detail\views                                                                                      |          6 |        670 |          0 |         37 |        707 |
| screens\product_edit_overview                                                                                     |          7 |        764 |          0 |         80 |        844 |
| screens\product_edit_overview (Files)                                                                             |          1 |        304 |          0 |         16 |        320 |
| screens\product_edit_overview\bloc                                                                                |          3 |        209 |          0 |         45 |        254 |
| screens\product_edit_overview\views                                                                               |          3 |        251 |          0 |         19 |        270 |
| screens\root                                                                                                      |          5 |        179 |          0 |         28 |        207 |
| screens\root (Files)                                                                                              |          2 |        129 |          0 |         11 |        140 |
| screens\root\bloc                                                                                                 |          3 |         50 |          0 |         17 |         67 |
| screens\user_details                                                                                              |          8 |        561 |         27 |         65 |        653 |
| screens\user_details (Files)                                                                                      |          1 |        188 |          1 |          5 |        194 |
| screens\user_details\bloc                                                                                         |          3 |        177 |         26 |         45 |        248 |
| screens\user_details\views                                                                                        |          4 |        196 |          0 |         15 |        211 |
| screens\user_order_history                                                                                        |          9 |        686 |          2 |         59 |        747 |
| screens\user_order_history (Files)                                                                                |          1 |        307 |          1 |         11 |        319 |
| screens\user_order_history\bloc                                                                                   |          3 |        140 |          0 |         27 |        167 |
| screens\user_order_history\views                                                                                  |          5 |        239 |          1 |         21 |        261 |
| themes                                                                                                            |          2 |         34 |          0 |          8 |         42 |
| utils                                                                                                             |          6 |        150 |          0 |         27 |        177 |
| widgets                                                                                                           |         22 |      1,270 |         18 |        110 |      1,398 |
| widgets (Files)                                                                                                   |          9 |        388 |          0 |         47 |        435 |
| widgets\abstract                                                                                                  |          7 |        580 |          0 |         40 |        620 |
| widgets\dialogs                                                                                                   |          4 |        267 |         18 |         16 |        301 |
| widgets\loading                                                                                                   |          2 |         35 |          0 |          7 |         42 |
+-------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+-------------------------------------------------------------------------------------------------------------------+----------+------------+------------+------------+------------+
| filename                                                                                                          | language | code       | comment    | blank      | total      |
+-------------------------------------------------------------------------------------------------------------------+----------+------------+------------+------------+------------+
| d:\Flutter Application\book_store_manager\lib\constant\app_fonts.dart                                             | Dart     |          4 |          0 |          1 |          5 |
| d:\Flutter Application\book_store_manager\lib\constant\app_icons.dart                                             | Dart     |         18 |          0 |          2 |         20 |
| d:\Flutter Application\book_store_manager\lib\constant\app_images.dart                                            | Dart     |         10 |          0 |          3 |         13 |
| d:\Flutter Application\book_store_manager\lib\constant\data_collections.dart                                      | Dart     |          8 |          0 |          1 |          9 |
| d:\Flutter Application\book_store_manager\lib\constant\data_document.dart                                         | Dart     |          5 |          0 |          1 |          6 |
| d:\Flutter Application\book_store_manager\lib\constant\enum.dart                                                  | Dart     |          3 |          0 |          3 |          6 |
| d:\Flutter Application\book_store_manager\lib\extensions\datetime_ex.dart                                         | Dart     |         14 |          0 |          3 |         17 |
| d:\Flutter Application\book_store_manager\lib\firebase_options.dart                                               | Dart     |         55 |         12 |          4 |         71 |
| d:\Flutter Application\book_store_manager\lib\main.dart                                                           | Dart     |         39 |          0 |          6 |         45 |
| d:\Flutter Application\book_store_manager\lib\models\book_type_model.dart                                         | Dart     |         35 |          0 |          5 |         40 |
| d:\Flutter Application\book_store_manager\lib\models\home_statistic_model.dart                                    | Dart     |         21 |          0 |          4 |         25 |
| d:\Flutter Application\book_store_manager\lib\models\import_product_model.dart                                    | Dart     |         11 |          0 |          3 |         14 |
| d:\Flutter Application\book_store_manager\lib\models\order_model.dart                                             | Dart     |         62 |          0 |          8 |         70 |
| d:\Flutter Application\book_store_manager\lib\models\order_product_model.dart                                     | Dart     |         28 |          0 |          4 |         32 |
| d:\Flutter Application\book_store_manager\lib\models\product_create_model.dart                                    | Dart     |         32 |          0 |          3 |         35 |
| d:\Flutter Application\book_store_manager\lib\models\product_model.dart                                           | Dart     |         76 |          0 |         10 |         86 |
| d:\Flutter Application\book_store_manager\lib\models\user_model.dart                                              | Dart     |         27 |          0 |          4 |         31 |
| d:\Flutter Application\book_store_manager\lib\repositories\import_repository.dart                                 | Dart     |         24 |          0 |          8 |         32 |
| d:\Flutter Application\book_store_manager\lib\repositories\order_repository.dart                                  | Dart     |         52 |          0 |         17 |         69 |
| d:\Flutter Application\book_store_manager\lib\repositories\product_repository.dart                                | Dart     |         48 |          0 |         11 |         59 |
| d:\Flutter Application\book_store_manager\lib\repositories\repository.dart                                        | Dart     |         16 |          0 |          4 |         20 |
| d:\Flutter Application\book_store_manager\lib\repositories\services\admin_account_service.dart                    | Dart     |         12 |          0 |          4 |         16 |
| d:\Flutter Application\book_store_manager\lib\repositories\services\authentication_service.dart                   | Dart     |         13 |          0 |          4 |         17 |
| d:\Flutter Application\book_store_manager\lib\repositories\services\import_service.dart                           | Dart     |         74 |          0 |         14 |         88 |
| d:\Flutter Application\book_store_manager\lib\repositories\services\order_service.dart                            | Dart     |        145 |          0 |         28 |        173 |
| d:\Flutter Application\book_store_manager\lib\repositories\services\product_service.dart                          | Dart     |        110 |          0 |         26 |        136 |
| d:\Flutter Application\book_store_manager\lib\repositories\services\transaction_service.dart                      | Dart     |         23 |          0 |          3 |         26 |
| d:\Flutter Application\book_store_manager\lib\repositories\services\user_service.dart                             | Dart     |         75 |          0 |         13 |         88 |
| d:\Flutter Application\book_store_manager\lib\repositories\user_repository.dart                                   | Dart     |         28 |          0 |         10 |         38 |
| d:\Flutter Application\book_store_manager\lib\screens\home\bloc\home_bloc.dart                                    | Dart     |         18 |          0 |          7 |         25 |
| d:\Flutter Application\book_store_manager\lib\screens\home\bloc\home_event.dart                                   | Dart     |          7 |          0 |          4 |         11 |
| d:\Flutter Application\book_store_manager\lib\screens\home\bloc\home_state.dart                                   | Dart     |         20 |          0 |          5 |         25 |
| d:\Flutter Application\book_store_manager\lib\screens\home\home_page.dart                                         | Dart     |        191 |          0 |          3 |        194 |
| d:\Flutter Application\book_store_manager\lib\screens\home\views\home_background.dart                             | Dart     |         22 |          0 |          4 |         26 |
| d:\Flutter Application\book_store_manager\lib\screens\home\views\home_cell.dart                                   | Dart     |         71 |          0 |          4 |         75 |
| d:\Flutter Application\book_store_manager\lib\screens\home\views\home_drawer.dart                                 | Dart     |         63 |          0 |          4 |         67 |
| d:\Flutter Application\book_store_manager\lib\screens\home\views\home_statistic.dart                              | Dart     |         60 |          0 |          5 |         65 |
| d:\Flutter Application\book_store_manager\lib\screens\home\views\home_tile.dart                                   | Dart     |         54 |          1 |          4 |         59 |
| d:\Flutter Application\book_store_manager\lib\screens\home\views\statistic_item.dart                              | Dart     |         66 |          0 |          4 |         70 |
| d:\Flutter Application\book_store_manager\lib\screens\import_product\bloc\import_product_bloc.dart                | Dart     |         56 |          0 |         13 |         69 |
| d:\Flutter Application\book_store_manager\lib\screens\import_product\bloc\import_product_event.dart               | Dart     |         14 |          0 |          7 |         21 |
| d:\Flutter Application\book_store_manager\lib\screens\import_product\bloc\import_product_state.dart               | Dart     |         24 |          0 |          5 |         29 |
| d:\Flutter Application\book_store_manager\lib\screens\import_product\import_product_page.dart                     | Dart     |        116 |          0 |          6 |        122 |
| d:\Flutter Application\book_store_manager\lib\screens\import_product\views\calendar_button.dart                   | Dart     |         72 |          0 |          4 |         76 |
| d:\Flutter Application\book_store_manager\lib\screens\import_product\views\import_history_item.dart               | Dart     |        132 |          0 |          6 |        138 |
| d:\Flutter Application\book_store_manager\lib\screens\import_product_create\bloc\create_import_product_bloc.dart  | Dart     |         64 |          0 |         14 |         78 |
| d:\Flutter Application\book_store_manager\lib\screens\import_product_create\bloc\create_import_product_event.dart | Dart     |         24 |          0 |         11 |         35 |
| d:\Flutter Application\book_store_manager\lib\screens\import_product_create\bloc\create_import_product_state.dart | Dart     |         25 |          0 |          6 |         31 |
| d:\Flutter Application\book_store_manager\lib\screens\import_product_create\create_import_product_page.dart       | Dart     |        208 |          0 |          8 |        216 |
| d:\Flutter Application\book_store_manager\lib\screens\import_product_create\views\create_import_item.dart         | Dart     |        160 |          0 |          8 |        168 |
| d:\Flutter Application\book_store_manager\lib\screens\import_product_create\views\dialog_item.dart                | Dart     |         61 |          0 |          5 |         66 |
| d:\Flutter Application\book_store_manager\lib\screens\import_product_create\views\product_picker_dialog.dart      | Dart     |        104 |          0 |          7 |        111 |
| d:\Flutter Application\book_store_manager\lib\screens\login\bloc\login_bloc.dart                                  | Dart     |         53 |          0 |         11 |         64 |
| d:\Flutter Application\book_store_manager\lib\screens\login\bloc\login_event.dart                                 | Dart     |         11 |          0 |          7 |         18 |
| d:\Flutter Application\book_store_manager\lib\screens\login\bloc\login_state.dart                                 | Dart     |         30 |          0 |          4 |         34 |
| d:\Flutter Application\book_store_manager\lib\screens\login\login_page.dart                                       | Dart     |        119 |          0 |          4 |        123 |
| d:\Flutter Application\book_store_manager\lib\screens\login\views\login_button.dart                               | Dart     |         46 |          0 |          4 |         50 |
| d:\Flutter Application\book_store_manager\lib\screens\login\views\password_tf.dart                                | Dart     |         59 |          0 |          7 |         66 |
| d:\Flutter Application\book_store_manager\lib\screens\login\views\styles.dart                                     | Dart     |          7 |          0 |          2 |          9 |
| d:\Flutter Application\book_store_manager\lib\screens\login\views\username_tf.dart                                | Dart     |         45 |          0 |          6 |         51 |
| d:\Flutter Application\book_store_manager\lib\screens\manage_feedback\manage_feedback_page.dart                   | Dart     |         16 |          0 |          3 |         19 |
| d:\Flutter Application\book_store_manager\lib\screens\manage_order\bloc\manage_order_bloc.dart                    | Dart     |        118 |         19 |         24 |        161 |
| d:\Flutter Application\book_store_manager\lib\screens\manage_order\bloc\manage_order_event.dart                   | Dart     |         19 |          0 |         10 |         29 |
| d:\Flutter Application\book_store_manager\lib\screens\manage_order\bloc\manage_order_state.dart                   | Dart     |         36 |          0 |          5 |         41 |
| d:\Flutter Application\book_store_manager\lib\screens\manage_order\manage_order_page.dart                         | Dart     |        171 |          1 |          7 |        179 |
| d:\Flutter Application\book_store_manager\lib\screens\manage_order\views\basic_orders.dart                        | Dart     |         27 |          0 |          6 |         33 |
| d:\Flutter Application\book_store_manager\lib\screens\manage_order\views\express_orders.dart                      | Dart     |         27 |          0 |          7 |         34 |
| d:\Flutter Application\book_store_manager\lib\screens\manage_order\views\fast_orders.dart                         | Dart     |         27 |          0 |          6 |         33 |
| d:\Flutter Application\book_store_manager\lib\screens\manage_order\views\order_status_item.dart                   | Dart     |         51 |          0 |          4 |         55 |
| d:\Flutter Application\book_store_manager\lib\screens\manage_order\views\order_tab_bar.dart                       | Dart     |         98 |          0 |          5 |        103 |
| d:\Flutter Application\book_store_manager\lib\screens\manage_order\views\orders_list.dart                         | Dart     |         34 |          0 |          4 |         38 |
| d:\Flutter Application\book_store_manager\lib\screens\manage_order\views\sort_dropdown_button.dart                | Dart     |         93 |          0 |          3 |         96 |
| d:\Flutter Application\book_store_manager\lib\screens\manage_product\bloc\manage_product_bloc.dart                | Dart     |        101 |          0 |         22 |        123 |
| d:\Flutter Application\book_store_manager\lib\screens\manage_product\bloc\manage_product_event.dart               | Dart     |         19 |          0 |          8 |         27 |
| d:\Flutter Application\book_store_manager\lib\screens\manage_product\bloc\manage_product_state.dart               | Dart     |         45 |          0 |          5 |         50 |
| d:\Flutter Application\book_store_manager\lib\screens\manage_product\manage_product_page.dart                     | Dart     |        122 |          0 |          8 |        130 |
| d:\Flutter Application\book_store_manager\lib\screens\manage_product\views\filter_product_dialog.dart             | Dart     |        317 |          0 |          8 |        325 |
| d:\Flutter Application\book_store_manager\lib\screens\manage_product\views\product_item.dart                      | Dart     |        115 |          0 |          5 |        120 |
| d:\Flutter Application\book_store_manager\lib\screens\manage_product\views\product_list.dart                      | Dart     |         82 |          0 |          3 |         85 |
| d:\Flutter Application\book_store_manager\lib\screens\manage_product\views\search_field.dart                      | Dart     |         80 |          0 |          7 |         87 |
| d:\Flutter Application\book_store_manager\lib\screens\manage_product\views\styles.dart                            | Dart     |          5 |          0 |          2 |          7 |
| d:\Flutter Application\book_store_manager\lib\screens\manage_product\views\total_product.dart                     | Dart     |         28 |          0 |          3 |         31 |
| d:\Flutter Application\book_store_manager\lib\screens\manage_user\bloc\manage_user_bloc.dart                      | Dart     |         39 |          0 |         10 |         49 |
| d:\Flutter Application\book_store_manager\lib\screens\manage_user\bloc\manage_user_event.dart                     | Dart     |         11 |          0 |          6 |         17 |
| d:\Flutter Application\book_store_manager\lib\screens\manage_user\bloc\manage_user_state.dart                     | Dart     |         24 |          0 |          5 |         29 |
| d:\Flutter Application\book_store_manager\lib\screens\manage_user\manage_user_page.dart                           | Dart     |         41 |          0 |          3 |         44 |
| d:\Flutter Application\book_store_manager\lib\screens\manage_user\views\styles.dart                               | Dart     |          5 |          0 |          2 |          7 |
| d:\Flutter Application\book_store_manager\lib\screens\manage_user\views\total_user.dart                           | Dart     |         24 |          0 |          3 |         27 |
| d:\Flutter Application\book_store_manager\lib\screens\manage_user\views\user_item.dart                            | Dart     |         80 |          0 |          5 |         85 |
| d:\Flutter Application\book_store_manager\lib\screens\manage_user\views\user_list.dart                            | Dart     |         85 |          0 |          7 |         92 |
| d:\Flutter Application\book_store_manager\lib\screens\manage_user\views\user_search_field.dart                    | Dart     |         81 |          0 |          8 |         89 |
| d:\Flutter Application\book_store_manager\lib\screens\order_details\bloc\order_details_bloc.dart                  | Dart     |         78 |          0 |         13 |         91 |
| d:\Flutter Application\book_store_manager\lib\screens\order_details\bloc\order_details_event.dart                 | Dart     |         30 |          0 |         15 |         45 |
| d:\Flutter Application\book_store_manager\lib\screens\order_details\bloc\order_details_state.dart                 | Dart     |         20 |          0 |          5 |         25 |
| d:\Flutter Application\book_store_manager\lib\screens\order_details\order_details_page.dart                       | Dart     |        293 |          0 |         15 |        308 |
| d:\Flutter Application\book_store_manager\lib\screens\order_details\views\confirm_button.dart                     | Dart     |        159 |          0 |          5 |        164 |
| d:\Flutter Application\book_store_manager\lib\screens\order_details\views\deliver_button.dart                     | Dart     |         64 |          0 |          4 |         68 |
| d:\Flutter Application\book_store_manager\lib\screens\order_details\views\order_status.dart                       | Dart     |         42 |          0 |          4 |         46 |
| d:\Flutter Application\book_store_manager\lib\screens\order_details\views\prepare_button.dart                     | Dart     |         64 |          0 |          4 |         68 |
| d:\Flutter Application\book_store_manager\lib\screens\order_details\views\product_item.dart                       | Dart     |         76 |          5 |          5 |         86 |
| d:\Flutter Application\book_store_manager\lib\screens\order_details\views\row_info.dart                           | Dart     |         33 |          0 |          4 |         37 |
| d:\Flutter Application\book_store_manager\lib\screens\order_details\views\row_info_space.dart                     | Dart     |         45 |          0 |          4 |         49 |
| d:\Flutter Application\book_store_manager\lib\screens\order_done\bloc\order_done_bloc.dart                        | Dart     |        122 |          0 |         25 |        147 |
| d:\Flutter Application\book_store_manager\lib\screens\order_done\bloc\order_done_event.dart                       | Dart     |         19 |          0 |         10 |         29 |
| d:\Flutter Application\book_store_manager\lib\screens\order_done\bloc\order_done_state.dart                       | Dart     |         45 |          0 |          5 |         50 |
| d:\Flutter Application\book_store_manager\lib\screens\order_done\order_done_page.dart                             | Dart     |        215 |          0 |          6 |        221 |
| d:\Flutter Application\book_store_manager\lib\screens\order_done\views\calendar_button.dart                       | Dart     |         79 |          0 |          5 |         84 |
| d:\Flutter Application\book_store_manager\lib\screens\order_done\views\filter_button.dart                         | Dart     |        107 |          1 |          5 |        113 |
| d:\Flutter Application\book_store_manager\lib\screens\order_done\views\indicator.dart                             | Dart     |         41 |          0 |          4 |         45 |
| d:\Flutter Application\book_store_manager\lib\screens\order_done\views\order_creator.dart                         | Dart     |         12 |          0 |          3 |         15 |
| d:\Flutter Application\book_store_manager\lib\screens\order_done\views\order_list.dart                            | Dart     |         41 |          0 |          7 |         48 |
| d:\Flutter Application\book_store_manager\lib\screens\order_done\views\search_order_field.dart                    | Dart     |         76 |          0 |          8 |         84 |
| d:\Flutter Application\book_store_manager\lib\screens\order_status\delivering\bloc\delivering_order_bloc.dart     | Dart     |         61 |         19 |         17 |         97 |
| d:\Flutter Application\book_store_manager\lib\screens\order_status\delivering\bloc\delivering_order_event.dart    | Dart     |         11 |          0 |          6 |         17 |
| d:\Flutter Application\book_store_manager\lib\screens\order_status\delivering\bloc\delivering_order_state.dart    | Dart     |         20 |          0 |          5 |         25 |
| d:\Flutter Application\book_store_manager\lib\screens\order_status\delivering\order_delivering_page.dart          | Dart     |         42 |          0 |          7 |         49 |
| d:\Flutter Application\book_store_manager\lib\screens\order_status\order_status_page.dart                         | Dart     |        130 |          0 |         10 |        140 |
| d:\Flutter Application\book_store_manager\lib\screens\order_status\prepared\bloc\prepared_order_bloc.dart         | Dart     |         73 |         19 |         18 |        110 |
| d:\Flutter Application\book_store_manager\lib\screens\order_status\prepared\bloc\prepared_order_event.dart        | Dart     |         15 |          0 |          8 |         23 |
| d:\Flutter Application\book_store_manager\lib\screens\order_status\prepared\bloc\prepared_order_state.dart        | Dart     |         20 |          0 |          5 |         25 |
| d:\Flutter Application\book_store_manager\lib\screens\order_status\prepared\order_prepared_page.dart              | Dart     |         49 |          0 |          6 |         55 |
| d:\Flutter Application\book_store_manager\lib\screens\order_status\preparing\bloc\preparing_order_bloc.dart       | Dart     |         75 |         19 |         18 |        112 |
| d:\Flutter Application\book_store_manager\lib\screens\order_status\preparing\bloc\preparing_order_event.dart      | Dart     |         15 |          0 |          8 |         23 |
| d:\Flutter Application\book_store_manager\lib\screens\order_status\preparing\bloc\preparing_order_state.dart      | Dart     |         20 |          0 |          5 |         25 |
| d:\Flutter Application\book_store_manager\lib\screens\order_status\preparing\order_preparing_page.dart            | Dart     |         49 |          0 |          6 |         55 |
| d:\Flutter Application\book_store_manager\lib\screens\order_status\views\order_status_tab.dart                    | Dart     |         16 |          0 |          4 |         20 |
| d:\Flutter Application\book_store_manager\lib\screens\product_create\bloc\create_product_bloc.dart                | Dart     |        124 |          0 |         30 |        154 |
| d:\Flutter Application\book_store_manager\lib\screens\product_create\bloc\create_product_event.dart               | Dart     |         47 |          0 |         24 |         71 |
| d:\Flutter Application\book_store_manager\lib\screens\product_create\bloc\create_product_state.dart               | Dart     |         94 |          0 |          6 |        100 |
| d:\Flutter Application\book_store_manager\lib\screens\product_create\create_product_page.dart                     | Dart     |        322 |          0 |          7 |        329 |
| d:\Flutter Application\book_store_manager\lib\screens\product_create\views\booktype_selector.dart                 | Dart     |         81 |          0 |          4 |         85 |
| d:\Flutter Application\book_store_manager\lib\screens\product_create\views\custom_textfield.dart                  | Dart     |         76 |          0 |          6 |         82 |
| d:\Flutter Application\book_store_manager\lib\screens\product_create\views\images_grid.dart                       | Dart     |        119 |          0 |          9 |        128 |
| d:\Flutter Application\book_store_manager\lib\screens\product_create\views\publishing_year_selector.dart          | Dart     |         78 |          0 |          4 |         82 |
| d:\Flutter Application\book_store_manager\lib\screens\product_create\views\textfield_title.dart                   | Dart     |         26 |          0 |          4 |         30 |
| d:\Flutter Application\book_store_manager\lib\screens\product_detail\bloc\product_detail_bloc.dart                | Dart     |         39 |          0 |         10 |         49 |
| d:\Flutter Application\book_store_manager\lib\screens\product_detail\bloc\product_detail_event.dart               | Dart     |         22 |          0 |          7 |         29 |
| d:\Flutter Application\book_store_manager\lib\screens\product_detail\bloc\product_detail_state.dart               | Dart     |         24 |          0 |          5 |         29 |
| d:\Flutter Application\book_store_manager\lib\screens\product_detail\photo_gallery_view.dart                      | Dart     |         73 |          0 |          8 |         81 |
| d:\Flutter Application\book_store_manager\lib\screens\product_detail\product_detail_page.dart                     | Dart     |        124 |          0 |          8 |        132 |
| d:\Flutter Application\book_store_manager\lib\screens\product_detail\views\image_product.dart                     | Dart     |         76 |          0 |          6 |         82 |
| d:\Flutter Application\book_store_manager\lib\screens\product_detail\views\orther_information_product.dart        | Dart     |        134 |          0 |          7 |        141 |
| d:\Flutter Application\book_store_manager\lib\screens\product_detail\views\overview_product.dart                  | Dart     |        170 |          0 |          5 |        175 |
| d:\Flutter Application\book_store_manager\lib\screens\product_detail\views\row_data.dart                          | Dart     |         39 |          0 |          4 |         43 |
| d:\Flutter Application\book_store_manager\lib\screens\product_detail\views\styles.dart                            | Dart     |         12 |          0 |          3 |         15 |
| d:\Flutter Application\book_store_manager\lib\screens\product_detail\views\update_orther_infor_dialog.dart        | Dart     |        239 |          0 |         12 |        251 |
| d:\Flutter Application\book_store_manager\lib\screens\product_edit_overview\bloc\product_edit_overview_bloc.dart  | Dart     |        100 |          0 |         20 |        120 |
| d:\Flutter Application\book_store_manager\lib\screens\product_edit_overview\bloc\product_edit_overview_event.dart | Dart     |         35 |          0 |         18 |         53 |
| d:\Flutter Application\book_store_manager\lib\screens\product_edit_overview\bloc\product_edit_overview_state.dart | Dart     |         74 |          0 |          7 |         81 |
| d:\Flutter Application\book_store_manager\lib\screens\product_edit_overview\edit_overview_product_page.dart       | Dart     |        304 |          0 |         16 |        320 |
| d:\Flutter Application\book_store_manager\lib\screens\product_edit_overview\views\booktype_selector.dart          | Dart     |         79 |          0 |          3 |         82 |
| d:\Flutter Application\book_store_manager\lib\screens\product_edit_overview\views\confirm_update_button.dart      | Dart     |         95 |          0 |          7 |        102 |
| d:\Flutter Application\book_store_manager\lib\screens\product_edit_overview\views\year_selector_textfield.dart    | Dart     |         77 |          0 |          9 |         86 |
| d:\Flutter Application\book_store_manager\lib\screens\root\bloc\root_bloc.dart                                    | Dart     |         28 |          0 |          8 |         36 |
| d:\Flutter Application\book_store_manager\lib\screens\root\bloc\root_event.dart                                   | Dart     |          7 |          0 |          5 |         12 |
| d:\Flutter Application\book_store_manager\lib\screens\root\bloc\root_state.dart                                   | Dart     |         15 |          0 |          4 |         19 |
| d:\Flutter Application\book_store_manager\lib\screens\root\require_sign_out_page.dart                             | Dart     |         78 |          0 |          3 |         81 |
| d:\Flutter Application\book_store_manager\lib\screens\root\root_page.dart                                         | Dart     |         51 |          0 |          8 |         59 |
| d:\Flutter Application\book_store_manager\lib\screens\user_details\bloc\user_details_bloc.dart                    | Dart     |        117 |         26 |         27 |        170 |
| d:\Flutter Application\book_store_manager\lib\screens\user_details\bloc\user_details_event.dart                   | Dart     |         32 |          0 |         13 |         45 |
